  FASES DA LUA (2000-2010)
  Fonte: U.S. Naval Observatory - Astronomical Applications Department
  Site: http://aa.usno.navy.mil/data/docs/MoonPhase.html

                                                   Hora média da 1ª m   04:05
                                                   Tempo médio entre  06:12:30

        DATA / HORA
         UNIVERSAL            BRASÍLIA - BRASIL           DATA          FASE
      01/08/2008 10:13        01/08/2008 07:13         01/08/2008       nova
      08/08/2008 00:00        07/08/2008 21:00         07/08/2008       cresc
      30/08/2008 19:58        30/08/2008 16:58         30/08/2008       nova
      07/09/2008 04:04        07/09/2008 01:04         07/09/2008       cresc
      29/09/2008 08:12        29/09/2008 05:12         29/09/2008       nova
      07/10/2008 09:04        07/10/2008 06:04         07/10/2008       cresc
      28/10/2008 23:14        28/10/2008 20:14         28/10/2008       nova
      06/11/2008 04:03        06/11/2008 01:03         06/11/2008       cresc
      27/11/2008 16:55        27/11/2008 13:55         27/11/2008       nova
      05/12/2008 01:06        04/12/2008 22:06         04/12/2008       cresc
      27/12/2008 12:22        27/12/2008 09:22         27/12/2008       nova
      01/01/2009 03:07        01/01/2009 00:07         01/01/2009       cheia
      04/01/2009 11:56        04/01/2009 08:56         04/01/2009       cresc
      26/01/2009 07:55        26/01/2009 04:55         26/01/2009       nova
      02/02/2009 23:13        02/02/2009 20:13         02/02/2009       cresc
      09/02/2009 04:09        09/02/2009 01:09         09/02/2009       cheia
      25/02/2009 01:35        24/02/2009 22:35         24/02/2009       nova
      01/03/2009 02:08        28/02/2009 23:08         28/02/2009       cheia
      04/03/2009 07:46        04/03/2009 04:46         04/03/2009       cresc
      26/03/2009 16:06        26/03/2009 13:06         26/03/2009       nova
      02/04/2009 14:34        02/04/2009 11:34         02/04/2009       cresc
      09/04/2009 04:06        09/04/2009 01:06         09/04/2009       cheia   *
      25/04/2009 03:23        25/04/2009 00:23         25/04/2009       nova
      01/05/2009 20:44        01/05/2009 17:44         01/05/2009       cresc
      09/05/2009 04:01        09/05/2009 01:01         09/05/2009       cheia
      24/05/2009 12:11        24/05/2009 09:11         24/05/2009       nova
      31/05/2009 03:22        31/05/2009 00:22         31/05/2009       cresc
      07/06/2009 08:02        07/06/2009 05:02         07/06/2009       cheia
      22/06/2009 19:35        22/06/2009 16:35         22/06/2009       nova
      29/06/2009 11:28        29/06/2009 08:28         29/06/2009       cresc
      07/07/2009 09:01        07/07/2009 06:01         07/07/2009       cheia
      22/07/2009 02:35        21/07/2009 23:35         21/07/2009       nova
      28/07/2009 22:00        28/07/2009 19:00         28/07/2009       cresc
      06/08/2009 00:05        05/08/2009 21:05         05/08/2009       cheia
      20/08/2009 10:02        20/08/2009 07:02         20/08/2009       nova
      27/08/2009 11:42        27/08/2009 08:42         27/08/2009       cresc
      04/09/2009 06:03        04/09/2009 03:03         04/09/2009       cheia
      18/09/2009 18:44        18/09/2009 15:44         18/09/2009       nova
      26/09/2009 04:50        26/09/2009 01:50         26/09/2009       cresc
      04/10/2009 06:00        04/10/2009 03:00         04/10/2009       cheia
      18/10/2009 05:33        18/10/2009 02:33         18/10/2009       nova
      26/10/2009 00:42        25/10/2009 21:42         25/10/2009       cresc
      02/11/2009 09:04        02/11/2009 06:04         02/11/2009       cheia
      16/11/2009 19:14        16/11/2009 16:14         16/11/2009       nova
      24/11/2009 21:39        24/11/2009 18:39         24/11/2009       cresc
      01/12/2009 09:03        01/12/2009 06:03         01/12/2009       cheia
      02/12/2009 07:00        02/12/2009 04:00         02/12/2009       cheia
      16/12/2009 12:02        16/12/2009 09:02         16/12/2009       nova
      24/12/2009 17:36        24/12/2009 14:36         24/12/2009       cresc
      07/01/2010 10:39        07/01/2010 07:39         07/01/2010       ming
      15/01/2010 07:11        15/01/2010 04:11         15/01/2010       nova
      23/01/2010 10:53        23/01/2010 07:53         23/01/2010       cresc
      30/01/2010 06:18        30/01/2010 03:18         30/01/2010       cheia
      05/02/2010 23:48        05/02/2010 20:48         05/02/2010       ming
      14/02/2010 02:51        13/02/2010 23:51         13/02/2010       nova
      22/02/2010 00:42        21/02/2010 21:42         21/02/2010       cresc
      28/02/2010 16:38        28/02/2010 13:38         28/02/2010       cheia
      07/03/2010 15:42        07/03/2010 12:42         07/03/2010       ming
      15/03/2010 21:01        15/03/2010 18:01         15/03/2010       nova
      23/03/2010 11:00        23/03/2010 08:00         23/03/2010       cresc
      30/03/2010 02:25        29/03/2010 23:25         29/03/2010       cheia   *
      06/04/2010 09:37        06/04/2010 06:37         06/04/2010       ming
      14/04/2010 12:29        14/04/2010 09:29         14/04/2010       nova
      21/04/2010 18:20        21/04/2010 15:20         21/04/2010       cresc
      28/04/2010 12:18        28/04/2010 09:18         28/04/2010       cheia
      06/05/2010 04:15        06/05/2010 01:15         06/05/2010       ming
      14/05/2010 01:04        13/05/2010 22:04         13/05/2010       nova
      20/05/2010 23:43        20/05/2010 20:43         20/05/2010       cresc
      27/05/2010 23:07        27/05/2010 20:07         27/05/2010       cheia
      04/06/2010 22:13        04/06/2010 19:13         04/06/2010       ming
      12/06/2010 11:15        12/06/2010 08:15         12/06/2010       nova
